,actors,country,director,req_imdbid,year
4201,"Angela Bettis, Jeremy Sisto, Anna Faris, James Duval",USA,Lucky McKee,tt0303361,2002
4202,"Humphrey Bogart, Rod Steiger, Jan Sterling, Mike Lane",USA,Mark Robson,tt0049291,1956
4203,"Kevin Spacey, Linda Fiorentino, Peter Mullan, Stephen Dillane","Ireland, Germany, UK, USA",Thaddeus O'Sullivan,tt0160611,2000
4204,"Miho Nikaido, Sayoko Amano, Tenmei Kano, Masahiko Shimada",Japan,Ryû Murakami,tt0105622,1992
4205,"Clint Eastwood, Freddie Jones, David Huffman, Warren Clarke",USA,Clint Eastwood,tt0083943,1982
4206,"Armand Assante, Barbara Carrera, Laurene Landon, Alan King",USA,Richard T. Heffron,tt0084112,1982
4207,"Sally Field, James Caan, Jeff Bridges, Paul Dooley",USA,Robert Mulligan,tt0084210,1982
4208,"Alan Arkin, Jeff Bridges, Mia Farrow, Tammy Grimes","UK, France, West Germany, Japan, USA","Jules Bass, Arthur Rankin Jr.",tt0084237,1982
4209,"Jackie Chan, Mars, Michael Wai-Man Chan, Shirley Yim",Hong Kong,Jackie Chan,tt0084266,1982
4210,"Woody Allen, Mia Farrow, José Ferrer, Julie Hagerty",USA,Woody Allen,tt0084329,1982
4211,"Jack Lemmon, Sissy Spacek, Melanie Mayron, John Shea","USA, Mexico",Costa-Gavras,tt0084335,1982
4212,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",UK,"Terry Hughes, Ian MacNaughton",tt0084352,1982
4213,"Omero Antonutti, Margarita Lozano, Claudio Bigagli, Miriam Guidelli",Italy,"Paolo Taviani, Vittorio Taviani",tt0084422,1982
4214,"Willie Aames, Phoebe Cates, Tuvia Tavi, Richard Curnock",Canada,Stuart Gillard,tt0084469,1982
4215,"Kristy McNichol, Christopher Atkins, Ted Hamilton, Bill Kerr",Australia,Ken Annakin,tt0084504,1982
4216,"Anémone, Josiane Balasko, Marie-Anne Chazel, Christian Clavier",France,Jean-Marie Poiré,tt0084555,1982
4217,Richard Pryor,USA,Joe Layton,tt0084597,1982
4218,"Florence Delay, Arielle Dombasle, Riyoko Ikeda, Charlotte Kerr",France,Chris Marker,tt0084628,1983
4219,"Mark Miller, Donovan Scott, Bridgette Andersen, Chris Robinson",USA,Pierre De Moro,tt0084633,1982
4220,"Rowan Atkinson, Jeff Beck, Alan Bennett, John Bird",UK,Julien Temple,tt0084648,1982
4221,"Anthony Franciosa, Christian Borromeo, Mirella D'Angelo, Veronica Lario",Italy,Dario Argento,tt0084777,1982
4222,"Johnny Yune, Margaux Hemingway, Raf Mauro, Pam Huntington",USA,Elliott Hong,tt0084786,1982
4223,"Peter Sellers, David Niven, Herbert Lom, Richard Mulligan","UK, USA",Blake Edwards,tt0084814,1982
4224,"Klaus Kinski, Oliver Reed, Nicol Williamson, Sarah Miles",UK,Piers Haggard,tt0084854,1981
4225,"Kristy McNichol, Christa Lang, Vernon Weddle, Jameson Parker",USA,Samuel Fuller,tt0084899,1982
4226,"Scott Baio, Willie Aames, Robert Mandan, Felice Schachter",USA,Robert J. Rosenthal,tt0084945,1982
4227,"Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse","USA, Germany",Donald Petrie,tt0251127,2003
4228,"Jackie Chan, Owen Wilson, Aaron Taylor-Johnson, Tom Fisher","USA, Hong Kong",David Dobkin,tt0300471,2003
4229,"Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan",USA,Mark Steven Johnson,tt0287978,2003
4230,"John Goodman, Haley Joel Osment, Mae Whitman, Connor Funk","USA, Australia",Steve Trenbirth,tt0283426,2003
4231,"Paul Schneider, Zooey Deschanel, Shea Whigham, Danny McBride",USA,David Gordon Green,tt0299458,2003
4232,"Casey Affleck, Matt Damon","USA, Argentina, Jordan",Gus Van Sant,tt0302674,2002
4233,"Audrey Tautou, Samuel Le Bihan, Isabelle Carré, Sophie Guillemin",France,Laetitia Colombani,tt0291579,2002
4234,"Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd",USA,Nick Castle,tt0106701,1993
4235,"Kelly Reno, Vincent Spano, Allen Garfield, Woody Strode",USA,Robert Dalva,tt0085248,1983
4236,"Kelly Reno, Mickey Rooney, Teri Garr, Clarence Muse",USA,Carroll Ballard,tt0078872,1979
4237,"Sidney Poitier, Shelley Winters, Elizabeth Hartman, Wallace Ford",USA,Guy Green,tt0059573,1965
4238,"Audie Murphy, Bill Mauldin, Douglas Dick, Royal Dano",USA,John Huston,tt0043961,1951
4239,"Doris Day, James Garner, Arlene Francis, Edward Andrews",USA,Norman Jewison,tt0057581,1963
4240,"Rock Hudson, Doris Day, Tony Randall, Thelma Ritter",USA,Michael Gordon,tt0053172,1959
4241,"David Bowie, Rip Torn, Candy Clark, Buck Henry",UK,Nicolas Roeg,tt0074851,1976
4242,"Kurt Russell, Scott Speedman, Michael Michele, Brendan Gleeson","USA, UK, Germany",Ron Shelton,tt0279331,2002
4243,"Donzaleigh Abernathy, Mark Aldrich, George Allen, Keith Allison",USA,Ron Maxwell,tt0279111,2003
4244,"Kate Winslet, Cleo King, Constance Jones, Kevin Spacey","USA, Germany, UK, Spain",Alan Parker,tt0289992,2003
4245,"Luke Wilson, Will Ferrell, Vince Vaughn, Jeremy Piven",USA,Todd Phillips,tt0302886,2003
4246,"Mads Mikkelsen, Sonja Richter, Nikolaj Lie Kaas, Paprika Steen",Denmark,Susanne Bier,tt0315543,2002
4247,"Chazz Palminteri, Ricky Schroder, Rod Steiger, Michael Rosenbaum",USA,Mars Callahan,tt0273982,2002
4248,"Carl Brandt, Frank Conroy, Bruce Dobler, Robert C.S. Downs",USA,Mark Moskowitz,tt0324080,2002
4249,"Jet Li, DMX, Anthony Anderson, Kelly Hu",USA,Andrzej Bartkowiak,tt0306685,2003
4250,"Ralph Fiennes, Miranda Richardson, Gabriel Byrne, Lynn Redgrave","Canada, UK, France",David Cronenberg,tt0278731,2002
4251,"Helena Bonham Carter, Cary Elwes, John Wood, Michael Hordern",UK,Trevor Nunn,tt0091374,1986
4252,"Lior Ashkenazi, Ronit Elkabetz, Moni Moshonov, Lili Koshashvili","Israel, France",Dover Koshashvili,tt0287471,2001
4253,"Mel Brooks, Lesley Ann Warren, Jeffrey Tambor, Stuart Pankin",USA,Mel Brooks,tt0102303,1991
4254,"Robert Townsend, Marla Gibbs, Eddie Griffin, Robert Guillaume",USA,Robert Townsend,tt0107563,1993
4255,"Hyuk Jang, Min-a Shin, Su-ro Kim, Sang-Woo Kwon",South Korea,Tae-gyun Kim,tt0301429,2001
4256,"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright",USA,Adam Shankman,tt0305669,2003
4257,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker",USA,Antoine Fuqua,tt0314353,2003
4258,"Monica Bellucci, Vincent Cassel, Albert Dupontel, Jo Prestia",France,Gaspar Noé,tt0290673,2002
4259,"Frances McDormand, Christian Bale, Kate Beckinsale, Natascha McElhone",USA,Lisa Cholodenko,tt0298408,2002
4260,"Juliane Köhler, Merab Ninidze, Sidede Onyulo, Matthias Habich",Germany,Caroline Link,tt0161860,2001
4261,"Glenn Close, Dermot Mulroney, Jessica Campbell, Patricia Clarkson","UK, USA, Canada",Rose Troche,tt0256359,2001
4262,"Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher","UK, Germany, USA",Gurinder Chadha,tt0286499,2002
4263,"Tommy Lee Jones, Benicio Del Toro, Connie Nielsen, Leslie Stefanson",USA,William Friedkin,tt0269347,2003
4264,"Crispin Glover, R. Lee Ermey, Laura Harring, Jackie Burroughs","Canada, USA",Glen Morgan,tt0310357,2003
4265,"Christina Ricci, Jason Biggs, Anne Heche, Michelle Williams","Germany, Canada, USA",Erik Skjoldbjærg,tt0236640,2001
4266,"Jason Schwartzman, Mickey Rourke, Brittany Murphy, John Leguizamo",USA,Jonas Åkerlund,tt0283003,2002
4267,"Jeffrey Hunter, Siobhan McKenna, Hurd Hatfield, Ron Randell",USA,Nicholas Ray,tt0055047,1961
4268,"Cary Grant, Jean Arthur, Ronald Colman, Edgar Buchanan",USA,George Stevens,tt0035417,1942
4269,"Virginia McKenna, Bill Travers, Geoffrey Keen, Peter Lukoye","UK, USA","James Hill, Tom McGowan",tt0060182,1966
4270,"Richard Burton, Peter Firth, Colin Blakely, Joan Plowright","UK, USA",Sidney Lumet,tt0075995,1977
4271,"Marco Hofschneider, André Wilms, Ashley Wanninger, Klaus Abramowsky","Germany, France, Poland",Agnieszka Holland,tt0099776,1990
4272,"James Stewart, June Allyson, Harry Morgan, Charles Drake",USA,Anthony Mann,tt0047030,1954
4273,"Gérard Depardieu, Andie MacDowell, Bebe Neuwirth, Gregg Edelman","France, Australia, USA",Peter Weir,tt0099699,1990
4274,"Pat Boone, James Mason, Arlene Dahl, Diane Baker",USA,Henry Levin,tt0052948,1959
4275,"Amanda Langlet, Arielle Dombasle, Pascal Greggory, Féodor Atkine",France,Éric Rohmer,tt0086087,1983
4276,"Nanako Matsushima, Miki Nakatani, Yûko Takeuchi, Hitomi Satô",Japan,Hideo Nakata,tt0178868,1998
4277,"Shafiq Syed, Hansa Vithal, Chanda Sharma, Raghuvir Yadav","UK, India, France",Mira Nair,tt0096028,1988
4278,"Shirley MacLaine, John McMartin, Ricardo Montalban, Sammy Davis Jr.",USA,Bob Fosse,tt0065054,1969
4279,"Edward James Olmos, Lorraine Bracco, John E. Coleman, Jeff Corbett",USA,Robert M. Young,tt0103036,1991
4280,"Cuba Gooding Jr., Horatio Sanz, Roselyn Sanchez, Vivica A. Fox","USA, Germany",Mort Nathan,tt0285462,2002
4281,"Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis","USA, Canada",Lawrence Kasdan,tt0285531,2003
4282,"John Fiedler, Jim Cummings, Andre Stojka, Kath Soucie",USA,Francis Glebas,tt0323642,2003
4283,"Gwyneth Paltrow, Christina Applegate, Mark Ruffalo, Candice Bergen",USA,Bruno Barreto,tt0264150,2003
4284,"Irene Dunne, Cary Grant, Ralph Bellamy, Alexander D'Arcy",USA,Leo McCarey,tt0028597,1937
4285,"John Travolta, Connie Nielsen, Samuel L. Jackson, Tim Daly","Germany, USA",John McTiernan,tt0264395,2003
4286,"Christopher Shyer, Ray Galletti, Eileen Pedde, Rekha Sharma","USA, Germany, Canada, UK",Jon Amiel,tt0298814,2003
4287,"Chris Rock, Bernie Mac, Dylan Baker, Nick Searcy",USA,Chris Rock,tt0325537,2003
4288,"Amanda Bynes, Colin Firth, Kelly Preston, Eileen Atkins",USA,Dennie Gordon,tt0286788,2003
4289,"Robert Duvall, Rubén Blades, Kathy Baker, Luciana Pedraza","USA, Argentina",Robert Duvall,tt0283897,2002
4290,"Victor Rasuk, Donna Maldonado, Kevin Rivera, Krystal Rodriguez","France, USA",Peter Sollett,tt0316188,2002
4291,"Steve James, Stephen Fielding, Tonya Gregory, Bernice Hagler",USA,Steve James,tt0334416,2002
4292,"Akira Terao, Mitsuko Baishô, Toshie Negishi, Mieko Harada","Japan, USA","Akira Kurosawa, Ishirô Honda",tt0100998,1990
4293,"Jacqueline Bisset, Valentina Cortese, Dani, Alexandra Stewart","France, Italy",François Truffaut,tt0070460,1973
4294,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid",USA,Nicholas Ray,tt0042593,1950
4295,"Nutsa Kukhianidze, Ouassini Embarek, Tchéky Karyo, Marc Lavoine","France, UK, Ireland, Canada, USA",Neil Jordan,tt0281820,2002
4296,"Vin Diesel, Larenz Tate, Timothy Olyphant, Geno Silva","USA, Germany",F. Gary Gray,tt0266465,2003
4297,"Colin Farrell, Kiefer Sutherland, Forest Whitaker, Radha Mitchell",USA,Joel Schumacher,tt0183649,2002
4298,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Aoi Tada","Japan, USA","Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura, Yoshiyuki Takei(co-director)",tt0275277,2001
4299,"Billy Bob Thornton, Morgan Freeman, Holly Hunter, Kirsten Dunst","USA, France",Ed Solomon,tt0304328,2003
4300,"Markku Peltola, Kati Outinen, Juhani Niemelä, Kaija Pakarinen","Finland, Germany, France",Aki Kaurismäki,tt0311519,2002
4301,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán",USA,Peter Segal,tt0305224,2003
4302,"Parry Shen, Jason Tobin, Shirley Anderson, Nanette Matoba",USA,Justin Lin,tt0280477,2002
4303,"Bill Paxton, John Broadwater, Lori Johnston, Charles Pellegrino",USA,James Cameron,tt0297144,2003
4304,"Sid Haig, William Bassett, Karen Black, Erin Daniels",USA,Rob Zombie,tt0251736,2003
4305,"Oksana Akinshina, Artyom Bogucharskiy, Lyubov Agapova, Liliya Shinkaryova","Sweden, Denmark",Lukas Moodysson,tt0300140,2002
4306,"Yun-Fat Chow, Seann William Scott, Jaime King, Karel Roden","USA, Canada",Paul Hunter,tt0245803,2003
4307,"Roselyn Sanchez, Sofía Vergara, Jaci Velasquez, Eduardo Verástegui",USA,Linda Mendoza,tt0323572,2003
4308,"Jim Moret, Stuart Luce, Mary Gross, Marty Belafsky",USA,Christopher Guest,tt0310281,2003
4309,"Sigourney Weaver, Jon Voight, Tim Blake Nelson, Shia LaBeouf",USA,Andrew Davis,tt0311289,2003
4310,"Jamie Kennedy, Taye Diggs, Anthony Anderson, Regina Hall",USA,John Whitesell,tt0328099,2003
4311,"Philippe Labro, Jacques Perrin","France, Germany, Switzerland, Spain, Italy","Jacques Perrin, Jacques Cluzaud(co-director), Michel Debats(co-director)",tt0301727,2001
4312,"Søren Pilmark, Ulrich Thomsen, Mads Mikkelsen, Nikolaj Lie Kaas","Denmark, Sweden",Anders Thomas Jensen,tt0236027,2000
4313,"Dustin Hoffman, Susan George, Peter Vaughan, T.P. McKenna","UK, USA",Sam Peckinpah,tt0067800,1971
4314,"Peter Graves, Peggie Castle, Morris Ankrum, Than Wyenn",USA,Bert I. Gordon,tt0050177,1957
4315,"Arthur Hill, David Wayne, James Olson, Kate Reid",USA,Robert Wise,tt0066769,1971
4316,"Julie Christie, Oskar Werner, Cyril Cusack, Anton Diffring",UK,François Truffaut,tt0060390,1966
4317,"Jeff Tweedy, John Stirratt, Leroy Bach, Glenn Kotche",USA,Sam Jones,tt0327920,2002
4318,"Robert Redford, Debra Winger, Daryl Hannah, Brian Dennehy",USA,Ivan Reitman,tt0091396,1986
4319,"Billy Crystal, Alan King, JoBeth Williams, Janet Carroll",USA,Henry Winkler,tt0095613,1988
4320,"Kirstie Alley, Bill Pullman, Carrie Fisher, Jami Gertz",USA,Carl Reiner,tt0100611,1990
4321,"Kathleen Turner, Dennis Quaid, Fiona Shaw, Stanley Tucci",USA,Herbert Ross,tt0108442,1993
4322,"Goldie Hawn, Swoosie Kurtz, Robyn Lively, Brandy Gold",USA,Michael Ritchie,tt0092214,1986
4323,"Diana Ross, Michael Jackson, Nipsey Russell, Ted Ross",USA,Sidney Lumet,tt0078504,1978
4324,"Gérard Depardieu, Marie Gillain, Catherine Jacob, Charlotte de Turckheim",France,Gérard Lauzier,tt0102465,1991
4325,"Bette Midler, Woody Allen, Bill Irwin, Daren Firestone",USA,Paul Mazursky,tt0102849,1991
4326,"Edward Burns, Rachel Weisz, Morris Chestnut, Leland Orser","USA, Canada, Germany",James Foley,tt0310910,2003
4327,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes",USA,James Mangold,tt0309698,2003
4328,"Michael Douglas, Kirk Douglas, Rory Culkin, Cameron Douglas",USA,Fred Schepisi,tt0311110,2003
4329,"Robert Altman, John G. Avildsen, Warren Beatty, Linda Blair",USA,"Ted Demme, Richard LaGravenese",tt0342275,2003
4330,"Joseph Gordon-Levitt, Maggie Baird, Don Cheadle, Blayne Weaver",USA,Jordan Melamed,tt0252684,2001
4331,"Al Pacino, Kim Basinger, Ryan O'Neal, Téa Leoni","USA, Germany",Daniel Algrant,tt0274711,2002
4332,"Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar, Scott McGarraugh",USA,Jeffrey Blitz,tt0334405,2002
4333,"Hilary Duff, Adam Lamberg, Hallie Todd, Robert Carradine",USA,Jim Fall,tt0306841,2003
4334,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry","Canada, USA",Bryan Singer,tt0290334,2003
4335,"David Strathairn, Agnes Bruckner, Margaret Colin, Frances Fisher",USA,Karen Moncrieff,tt0290145,2002
4336,"Javier Bardem, Juan Diego Botto, Laura Morante, Elvira Mínguez","Spain, USA",John Malkovich,tt0118926,2002
4337,"Shahab Ebrahimi, Faegh Mohamadi, Allah-Morad Rashtian, Rojan Hosseini",Iran,Bahman Ghobadi,tt0317226,2002
4338,"Philip Seymour Hoffman, Minnie Driver, John Hurt, Maury Chaykin","Canada, UK",Richard Kwietniowski,tt0285861,2003
4339,"Eddie Murphy, Jeff Garlin, Steve Zahn, Regina King",USA,Steve Carr,tt0317303,2003
4340,"Jean Rochefort, Johnny Hallyday, Jean-François Stévenin, Charlie Nelson","France, UK, Germany, Japan",Patrice Leconte,tt0301414,2002
4341,"Gretchen Mol, Paul Rudd, Rachel Weisz, Frederick Weller","USA, France, UK",Neil LaBute,tt0308878,2003
4342,"Larry Sullivan, Steve Braun, Ray Baker, James Handy",USA,Miles Swain,tt0250067,2002
4343,"Victoria Abril, Hilmir Snær Guðnason, Hanna María Karlsdóttir, Þrúður Vilhjálmsdóttir","Iceland, Denmark, France, Norway, Germany",Baltasar Kormákur,tt0237993,2000
4344,"Michael Blevins, Yamil Borges, Jan Gan Boyd, Sharon Brown",USA,Richard Attenborough,tt0088915,1985
4345,"Rae Dawn Chong, Guy Davis, Jon Chardiet, Leon W. Grant",USA,Stan Lathan,tt0086946,1984
4346,"Lucinda Dickey, Adolfo Quinones, Michael Chambers, Susie Coelho",USA,Sam Firstenberg,tt0086999,1984
4347,"Lucinda Dickey, Adolfo Quinones, Michael Chambers, Ben Lokey",USA,Joel Silberg,tt0086998,1984
4348,"Anna Paquin, James Van Der Beek, Cloris Leachman, Mark Hamill",Japan,Hayao Miyazaki,tt0092067,1986
4349,"Bing Crosby, Grace Kelly, Frank Sinatra, Celeste Holm",USA,Charles Walters,tt0049314,1956
4350,"Kathryn Grayson, Howard Keel, Ann Miller, Keenan Wynn",USA,George Sidney,tt0045963,1953
4351,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",USA,"Lana Wachowski, Lilly Wachowski",tt0234215,2003
4352,"Renée Zellweger, Ewan McGregor, Sarah Paulson, David Hyde Pierce","USA, Germany",Peyton Reed,tt0309530,2003
4353,"Jack Angstreich, Eric Chadbourne, Bill Heidbreder, Roberta Hill","Germany, USA","Angela Christlieb, Stephen Kijak",tt0281724,2002
4354,"Romain Duris, Judith Godrèche, Audrey Tautou, Cécile de France","France, Spain",Cédric Klapisch,tt0283900,2002
4355,"Rica Matsumoto, Veronica Taylor, Rachael Lillis, Mayumi Izuka",Japan,"Jim Malone, Kunihiko Yuyama",tt0347791,2002
4356,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",USA,Tom Shadyac,tt0315327,2003
4357,"Michael Douglas, Michael Bodnar, Vladimir Radian, Robin Tunney","USA, Germany, Canada",Andrew Fleming,tt0314786,2003
4358,"John Flansburgh, John Linnell, Gina Arnold, Michael Azerrad",USA,AJ Schnack,tt0304081,2002
4359,"Valeria Golino, Vincenzo Amato, Francesco Casisa, Veronica D'Agostino","Italy, France",Emanuele Crialese,tt0286516,2002
4360,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","USA, Australia","Andrew Stanton, Lee Unkrich(co-director)",tt0266543,2003
4361,"Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham","USA, France, UK, Italy",F. Gary Gray,tt0317740,2003
4362,"Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui, Jeremy Sisto","USA, Germany, Canada",Rob Schmidt,tt0295700,2003
4363,"Arnold Friedman, Elaine Friedman, David Friedman, Seth Friedman",USA,Andrew Jarecki,tt0342172,2003
4364,"Yun Tang, Peiqi Liu, Hong Chen, Zhiwen Wang","China, South Korea",Kaige Chen,tt0332639,2002
4365,"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser","USA, Germany",John Singleton,tt0322259,2003
4366,"Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton, Cliff Curtis","New Zealand, Germany",Niki Caro,tt0298228,2002
4367,"Steve McQueen, Karl Malden, Brian Keith, Arthur Kennedy",USA,Henry Hathaway,tt0060748,1966
4368,"Yun-Fat Chow, Leslie Cheung, Cherie Chung, Kong Chu",Hong Kong,John Woo,tt0101020,1991
4369,"Fred Astaire, Cyd Charisse, Janis Paige, Peter Lorre",USA,Rouben Mamoulian,tt0050972,1957
4370,"Lane Carroll, Will MacMillan, Harold Wayne Jones, Lloyd Hollar",USA,George A. Romero,tt0069895,1973
4371,"Ann Finnell, Patrick McGuinness, James Williams, Michael Glover","France, USA",Jean-Xavier de Lestrade,tt0307197,2001
4372,"Linus Roache, Danielle Cormack, Ian Bliss, Roy Billing",Australia,John Polson,tt0178022,1999
4373,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald","UK, USA",Byron Haskin,tt0043067,1950
4374,"Cary Grant, Samantha Eggar, Jim Hutton, John Standing",USA,Charles Walters,tt0061170,1966
4375,Paddy O'Byrne,South Africa,Jamie Uys,tt0071143,1974
4376,"Darrow Igus, Otis Day, James Spinks, Antonio Fargas",USA,Michael Schultz,tt0074281,1976
4377,"Marlene Dietrich, James Stewart, Mischa Auer, Charles Winninger",USA,George Marshall,tt0031225,1939
4378,"Sergio Rubini, Antonella Ponziani, Maurizio Mein, Paola Liguori",Italy,Federico Fellini,tt0093267,1987
4379,"Pierce Brosnan, Ron Silver, Ben Cross, Lisa Eilbacher",USA,Christian Duguay,tt0104743,1992
4380,"James Stewart, Doug McClure, Glenn Corbett, Patrick Wayne",USA,Andrew V. McLaglen,tt0059711,1965
4381,"Peter Riegert, Chazz Palminteri, Joey Travolta, Paul Greco",USA,John Landis,tt0102603,1991
4382,"Marlon Wayans, Kadeem Hardison, David Paymer, Michael Michele",USA,Randall Miller,tt0120142,1997
4383,"Dinah Sheridan, Bernard Cribbins, William Mervyn, Iain Cuthbertson",UK,Lionel Jeffries,tt0066279,1970
4384,"Shirley MacLaine, Clint Eastwood, Manolo Fábregas, Alberto Morin","Mexico, USA",Don Siegel,tt0065134,1970
4385,"James Stewart, Shelley Winters, Dan Duryea, Stephen McNally",USA,Anthony Mann,tt0043137,1950
4386,Mikhail Kaufman,Soviet Union,Dziga Vertov,tt0019760,1929
4387,"Errol Flynn, James Brown, William Prince, George Tobias",USA,Raoul Walsh,tt0037954,1945
4388,"Robert De Niro, Ellen Barkin, Leonardo DiCaprio, Jonah Blechman",USA,Michael Caton-Jones,tt0108330,1993
4389,"John Turturro, John Goodman, Judy Davis, Michael Lerner","USA, UK","Joel Coen, Ethan Coen",tt0101410,1991
4390,"Penélope Cruz, Miriam Díaz-Aroca, Gabino Diego, Fernando Fernán Gómez","Spain, Portugal, France",Fernando Trueba,tt0103791,1992
4391,"James Stewart, Richard Attenborough, Peter Finch, Hardy Krüger",USA,Robert Aldrich,tt0059183,1965
4392,"Paul Newman, Joanne Woodward, Myrna Loy, Ina Balin",USA,Mark Robson,tt0053841,1960
4393,"Paul Newman, Joanne Woodward, Anthony Franciosa, Orson Welles",USA,Martin Ritt,tt0051878,1958
4394,"Colman 'Tiger' King, Maggie Dirrane, Michael Dirrane, Pat Mullin",UK,Robert J. Flaherty,tt0025456,1934
4395,"Jessica Lange, Armin Mueller-Stahl, Frederic Forrest, Donald Moffat",USA,Costa-Gavras,tt0100211,1989
4396,"Anthony Perkins, Arnoldo Foà, Jess Hahn, Billy Kearns","France, West Germany, Italy",Orson Welles,tt0057427,1962
4397,"Burt Lancaster, Audrey Hepburn, Audie Murphy, John Saxon",USA,John Huston,tt0054428,1960
4398,"Kel Mitchell, Kenan Thompson, Sinbad, Abe Vigoda",USA,Brian Robbins,tt0119215,1997
4399,"Jenny Runacre, Nell Campbell, Toyah Willcox, Jordan",UK,Derek Jarman,tt0076240,1978
4400,"Denzel Washington, Sarita Choudhury, Roshan Seth, Sharmila Tagore","UK, USA",Mira Nair,tt0102456,1991
4401,"Tom Berenger, Bob Hoskins, Greta Scacchi, Joanne Whalley",USA,Wolfgang Petersen,tt0102900,1991
4402,"Jennifer Jones, Charles Bickford, Vincent Price, Lee J. Cobb",USA,Henry King,tt0036377,1943
4403,"Julie Andrews, James Fox, Mary Tyler Moore, Carol Channing",USA,George Roy Hill,tt0062362,1967
4404,"Timothy Stack, Mimi Rogers, Wayne Federman, Lucas Gregory",USA,Troy Miller,tt0329028,2003
4405,"Kelly Clarkson, Justin Guarini, Katherine Bailess, Anika Noni Rose",USA,Robert Iscove,tt0339034,2003
4406,"Harrison Ford, Josh Hartnett, Lena Olin, Bruce Greenwood",USA,Ron Shelton,tt0329717,2003
4407,"Luke Wilson, Derek Barbosa, Lobo Sebastian, Rob Reiner",USA,Rob Reiner,tt0318283,2003
4408,"Alex Palmer, Bindu De Stoppani, Jukka Hiltunen, David Schneider",UK,Danny Boyle,tt0289043,2002
4409,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac",USA,McG,tt0305357,2003
4410,"Andy Lau, Takashi Sorimachi, Simon Yam, Kelly Lin",Hong Kong,"Johnnie To, Ka-Fai Wai",tt0286635,2001
4411,"Brigitte Mira, El Hedi ben Salem, Irm Hermann, Elma Karlowa",West Germany,Rainer Werner Fassbinder,tt0071141,1974
4412,"Phoebe Cates, Bridget Fonda, Tim Roth, Eric Stoltz",USA,Michael Steinberg,tt0106447,1993
4413,"George E. Mather, Austin Green, Esther Furst, Norman Ollestad",USA,Clark L. Paylow,tt0056415,1961
4414,"Sylvia Sidney, Henry Fonda, Barton MacLane, Jean Dixon",USA,Fritz Lang,tt0029808,1937
4415,"Ingrid Bergman, Yul Brynner, Helen Hayes, Akim Tamiroff",USA,Anatole Litvak,tt0048947,1956
4416,"John Goodman, Kelly McGillis, Trini Alvarado, Bruce Boxleitner",USA,Arthur Hiller,tt0103747,1992
4417,"Tom Selleck, Ken Takakura, Aya Takanashi, Dennis Haysbert","USA, Japan",Fred Schepisi,tt0104926,1992
4418,"Stewart Granger, Eleanor Parker, Janet Leigh, Mel Ferrer",USA,George Sidney,tt0045125,1952
4419,"Gene Wilder, Donald Sutherland, Hugh Griffith, Jack MacGowran",USA,Bud Yorkin,tt0066402,1970
4420,"Roman Polanski, Isabelle Adjani, Melvyn Douglas, Jo Van Fleet",France,Roman Polanski,tt0074811,1976
4421,"Barbra Streisand, Ryan O'Neal, Madeline Kahn, Kenneth Mars",USA,Peter Bogdanovich,tt0069495,1972
4422,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",USA,Ang Lee,tt0286716,2003
4423,"Reese Witherspoon, Sally Field, Regina King, Jennifer Coolidge",USA,Charles Herman-Wurmfeld,tt0333780,2003
4424,"Brad Pitt, Catherine Zeta-Jones, Michelle Pfeiffer, Joseph Fiennes",USA,"Patrick Gilmore, Tim Johnson",tt0165982,2003
4425,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken","USA, Germany, UK",Jonathan Mostow,tt0181852,2003
4426,"Charlotte Rampling, Ludivine Sagnier, Charles Dance, Jean-Marie Lamour","France, UK",François Ozon,tt0324133,2003
4427,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",USA,Gore Verbinski,tt0325980,2003
